0.0,ACTIVATED ENDOTHELIUM,AKT,BETA CATENIN,BMYB,BRCA1,CMYB,E2F1,EGFR,ER,ESC HUMAN,FOS JUN,GATA3,GLUCOSE DEPLETION,GYCOLYSIS,HER1 C1,HER1 C2,HER1 C3,HER2,HER2 AMP,HYPOXIA,IFNA,IFNG,LACTIC ACIDOSIS,LKB1,P53,P63,PI3K,PIK3CA,PR,PROLIFERATION,RAS,RB LOH,SRC,STAT1,STAT3,STEM CELL,STROMAL DOWN,STROMAL UP,TGFB,TNFA,WOUND RESPONSE,TNFa,JAK-STAT,PI3K_only,Wnt,VEGF,MAPK_only,IL-1,MAPK_PI3K,TLR,H2O2,ACIDOSIS,E2 ACTIVATED BY E2 REPRESSED CORR,MYC DUKE,MYC UNC,P53 MUT BY P53 WT CORR,PROLIFERATION PAM50,PTEN DEL BY PTEN WT CORR,VEGF OR HYPOXIA,WntTargets,NotchTargets,P53Targets,Hypoxia,JAK.STAT,MAPK,NFkB,TGFb,Trail,p53
0.0,ABCA2,ABAT,AGPAT5,RPL39L,ART3,NAT1,ABCG2,LOC728061,ACOT2,NPM1,GEM,KRT7,CALU,ENO1,ALDH1B1,BYSL,ACTL6A,ACADVL,PNMT,ADM,ANKFY1,APOL2,ALDOA,GPR115,AARSD1,AKR7A2,LOC283861,ACTG2,ABCD3,TUBA1B,ANGPTL4,ARF1,CYP4F8,TAP1,ABCA1,ANK3,LGALS7B,C9orf47,ADRB1,ACSL3,ADH1A,CXCL8,CDKN1A,EIF5A,IFNGR1,MIR503HG,MAFG,MYC,MYC,RNF144B,PCF11,ALDH1B1,CHPT1,AASDHPPT,ADM,CCND1,BIRC5,ABLIM1,ADM,AXIN2,DLL1,ACTA2,ZMPSTE24,IFIT1,RAB26,CXCL8,LRRN4CL,LOC100190986,ARHGAP11A
0.0,BIRC2,ACLY,ATAD2,C11orf82,ATF3,NAT2,ACSL1,KLHDC2,ANXA9,MYH10,NR4A1,LAD1,CARS,GAPDH,CAD,CCNE1,ANXA7,ACSF2,TCAP,AK4,APOL2,APOL6,ASMTL,LRRCC1,ABCC8,BAG3,FAXDC2,ALOX5AP,ACADSB,PTTG3P,APOBEC3F,ATP1B3,HNRNPA0,GBP1,ADM,BUB1,TIGD2,OLFML2A,ANGPTL4,ALCAM,APOH,CCL20,GADD45B,SOX4,CITED2,SNORD114-2,FAM108A1,SOX4,SOX9,IL10,RHOB,ANGPTL4,CD44,ABCC4,ADORA2B,CCNA2,CCNB1,ENPP3,FABP5,CCND,DLL3,APBA2,TMX2,RSAD2,ZSCAN31,CCL20,CLDN11,SMG1P5,ZNF83
0.0,APLP1,ACO1,BAG2,ASPM,ATF4,ABL2,AKR1B1,VAV3,AR,CCNE1,ATF3,FXYD3,CLIC4,GPI,NKX2-5,TIMM8A,ARF1,ALAS1,PCGF2,AMIGO2,APOL6,ARNTL,BAK1,LIMCH1,ACAD8,CCNE2,EPB41L4A-AS1,AMPH,ADCY9,CKAP5,APOBEC3G,ATP6V1C1,PPP1R15A,IFIH1,AGT,CCNB1,FAM83H,FAM180A,ARID3A,APOL2,BMPR1B,TNFAIP3,CYP1B1,CDKN1C,NUSAP1,UBE2Q2P1,MTG1,CYLD,CYP1B1,GADD45B,IL8,BCL6,USP30,ABCE1,AHCY,CDK1,CDC20,FKBP1B,PNP,CDH,DLL4,APLP1,DOLK,IFIT3,PBX1,TNFAIP3,AK5,LOC102724587,STAG1
0.0,ARL4D,AKR7A2,BARD1,RACGAP1,ATR,ACAT1,AKR7A2,AJUBA,C10orf116,ATP5G2,IER2,S100A11,DDIT4,PFKP,FARSA,SNRPD1,ATR,ATG2A,PIP4K2B,ANGPTL4,BTN3A1,ATP6V1C1,BRD7,SHROOM3,ACADVL,CYB5R3,CREBRF,BLM,ALDOA,BUB1,ARHGAP25,BID,RAG1,PSMB9,AKAP12,CES1,PPAPDC2,TMEM130,BCOR,BIRC2,DST,CXCL3,IL15,SLC25A24,RHOB,MIR323B,SPRY2,GADD45B,HSP90B1,IL12B,TMEFF1,BTG1,CEP250,ABCF2,AK1,CDC25B,CDCA1,GABARAP,PLOD1,CDKN2A,DLK1,ARL4A,FLAD1,ISG15,GABARAP,CXCL1,ABCA6,LOC100291323,NRF1
0.0,BLM,AKT2,BTG3,CDKN2AIPNL,BPI,PLIN2,ALOX12,ZBED8,C14orf132,RAD23B,JUNB,TFF1,DNAJB9,PKM2,SERPINB8,LRP8,BID,BCL11A,CWC25,ANKRD36,BTN3A2,BATF3,C12orf10,SYCP2,ACBD4,DNAJB1,MLANA,BUB1,AR,DEPDC1,ARPC2,BLM,RPL27A,CXCL9,ANGPTL4,FGFR2,FAM83B,KCNIP1,C3orf52,BTN3A3,CAPN6,ICAM1,IL15RA,H1FX,CDCA3,PHACTR3,LOC440335,TRAF1,RPL37A,NLRP12,PPP1R10,CD200,IRF4,ADA,ALDH1A1,CDC25C,CEP55,CNN2,UCHL1,CDX,DTX1,ATF3,POP4,MX1,SIDT2,CXCL3,RXFP1,FRMPD1,LCE1C
0.0,BPGM,ALDH7A1,C5orf30,TRIML2,CALB2,ADM,ATAD2,CCDC28A,CA12,COX4NB,JUN,TFF3,EPRS,,PPM1G,ECE2,CBFB,BDKRB2,PSMB3,ANKZF1,BTN3A3,BCL6,CBS,LGSN,ACLY,DPYSL2,UBALD2,CA9,ARFGEF2,ERCC6L,ATG5,BUB1,RPL37A,IRF1,ARNTL2,GBX2,ALS2CL,EPSTI1,CFTR,C8orf4,CD86,PTX3,IL32,ARHGDIA,AURKA,NUDT19,C1orf55,TNFRSF9,RPL38,HHEX,NRIP1,CD55,IFT74,ADSL,SLC25A5,CDKN1A,KNTC2,TRIM4,VEGFA,CLDN,JAG1,BAK1,QRSL1,IFI44L,PIK3C2B,IL6,GDF5,NPW,TP53I3
0.0,BRCA1,ATP5G3,CASP8AP2,OIP5,CD19,AGTR1,B4GALT6,ZSCAN31,CYB561,TEAD4,FOS,TFRC,GRB10,,SGTA,PTDSS1,CDR2,C10orf10,LASP1,ATG14,C19orf66,BTN3A1,CMPK1,ZNF165,ALDH6A1,EBP,CTSF,CCNB1,ARHGAP29,CDC7,BMP2,BUB1B,RPLP2,CXCL11,ATP5G2,HCFC1,NMNAT3,MDGA1,CHRNA4,CCL2,CDK4,CXCL1,TRIM25,JUN,CARS,SNORA70E,MAL,PTX3,CXCR7,TIFA,JUN,CDKN1C,PSMA4,AGPAT5,RND3,CDKN3,MKI67,FLJ10241,SLC16A3,CTLA4,JAG2,BAK1P1,NDRG1,IFIT2,TNS3,IL1B,MSR1,TAS2R5,CDKN1A
0.0,BUB1B,ATP6V0E2,CCNE1,KIF15,COL4A1,AIM1,BRCC3,NR1D2,DALRD3,CLDN4,DUSP1,C10orf116,HBP1,,UPP1,COX4NB,CTPS,C17orf63,STARD3,BHLHE40,C1orf38,BTN3A2,CRABP2,KLK10,ALG9,FDFT1,CREB3L4,CDKN3,ARL3,PDCD5,BNIP3L,CAPS,RPS11,CXCL10,BCL3,MKI67,EHD4,CREB3L2,COL6A1,CD47,COL17A1,CCL2,FZD5,HIST1H2AC,HSPE1,NCKAP5,CRIM1,CEBPD,RPS2,IL15RA,JUNB,CFLAR,E2F8,AHCTF1,ATP5F1,CENPF,PTTG1,STK16,NDRG1,DSPP,NOTCH1,BBC3,BNIP3,CMPK2,SH3BGRL,PTX3,ABCA8,BMS1P5,LOC727916
0.0,OSGIN2,C14orf1,CCNE2,TOX2,E2F2,ALDH1A3,C18orf25,GRAMD1C,DCXR,RPS21,ZFP36,BACE2,HERPUD1,,TRIM25,WDR4,DHX15,C2orf54,GSDMB,BHLHE41,CASP1,BTN3A3,DNM1,LTBP1,APBB1,G6PD,LOC100134937,CHN1,ASMTL,CEBPG,BPGM,CCNA2,SRC,IDO1,BCL6,RNF2,SDR42E1,TRIML2,CRYBA4,CDV3,COX7B,IL6,CEBPD,MYADM,H1FX,POT1-AS1,MAOB,FSTL3,CD24,DENND4A,TRIB1,CRIM1,DHFRL1,AHCY,BAX,CKS1B,RRMS,MAF,GAL,FGF8,NOTCH2,BCL6,TMEM45A,OAS1,BDH2,TNFAIP6,NOX1,GNL3L,WDR63
